0,0,13
0,0,14
0,0,14
0,0,13
0,1400000,15
20,1400000,16
20,1700000,15
22,1700000,16
22,0,14
22,0,13
22,1400000,15
42,1400000,16
42,1700000,15
44,1700000,16
44,0,14
44,0,13
44,1400000,15
64,1400000,16
64,1700000,15
67,1700000,16
67,0,14
67,0,13
67,1400000,15
87,1400000,16
87,1700000,15
89,1700000,16
89,0,14
89,0,13
89,1400000,15
109,1400000,16
109,1700000,15
111,1700000,16
111,0,14
111,0,13
111,1400000,15
131,1400000,16
131,1700000,15
133,1700000,16
133,0,14
133,0,13
133,1400000,15
153,1400000,16
153,1700000,15
155,1700000,16
155,0,14
155,0,13
155,1400000,15
175,1400000,16
175,1700000,15
177,1700000,16
177,0,14
177,0,13
177,1400000,15
197,1400000,16
197,1700000,15
199,1700000,16
199,0,14
199,0,13
199,1400000,15
219,1400000,16
219,1700000,15
221,1700000,16
221,0,14
221,0,13
221,1400000,15
241,1400000,16
241,1700000,15
243,1700000,16
243,0,14
243,0,13
243,1400000,15
263,1400000,16
263,1700000,15
265,1700000,16
265,0,14
265,0,13
265,1400000,15
285,1400000,16
285,1700000,15
287,1700000,16
287,0,14
287,0,13
287,1400000,15
307,1400000,16
307,1700000,15
309,1700000,16
309,0,14
309,0,13
309,1400000,15
329,1400000,16
329,1700000,15
331,1700000,16
331,0,14
331,0,13
331,1400000,15
351,1400000,16
351,1700000,15
353,1700000,16
353,0,14
353,0,13
353,1400000,15
373,1400000,16
373,1700000,15
375,1700000,16
375,0,14
375,0,13
375,1400000,15
395,1400000,16
395,1700000,15
397,1700000,16
397,0,14
397,0,13
397,1400000,15
417,1400000,16
417,1700000,15
419,1700000,16
419,0,14
419,0,13
419,1400000,15
439,1400000,16
439,1700000,15
441,1700000,16
441,0,14
441,0,13
441,1400000,15
461,1400000,16
461,1700000,15
463,1700000,16
463,0,14
463,0,13
463,1400000,15
483,1400000,16
483,1700000,15
485,1700000,16
485,0,14
485,0,13
485,1400000,15
505,1400000,16
505,1700000,15
507,1700000,16
507,0,14
507,0,13
507,1400000,15
527,1400000,16
527,1700000,15
529,1700000,16
529,0,14
529,0,13
529,1400000,15
549,1400000,16
549,1700000,15
551,1700000,16
551,0,14
551,0,13
551,1400000,15
571,1400000,16
571,1700000,15
573,1700000,16
573,0,14
573,0,13
573,1400000,15
593,1400000,16
594,1700000,15
595,1700000,16
595,0,14
595,0,13
595,1400000,15
616,1400000,16
616,1700000,15
618,1700000,16
618,0,14
618,0,13
618,1400000,15
638,1400000,16
638,1700000,15
640,1700000,16
640,0,14
640,0,13
640,1400000,15
660,1400000,16
660,1700000,15
662,1700000,16
662,0,14
662,0,13
662,1400000,15
682,1400000,16
682,1700000,15
684,1700000,16
684,0,14
684,0,13
684,1400000,15
704,1400000,16
704,1700000,15
706,1700000,16
706,0,14
706,0,13
706,1400000,15
726,1400000,16
726,1700000,15
728,1700000,16
728,0,14
728,0,13
728,1400000,15
748,1400000,16
748,1700000,15
750,1700000,16
750,0,14
750,0,13
750,1400000,15
770,1400000,16
770,1700000,15
772,1700000,16
772,0,14
772,0,13
772,1400000,15
792,1400000,16
792,1700000,15
794,1700000,16
794,0,14
794,0,13
794,1400000,15
814,1400000,16
814,1700000,15
816,1700000,16
816,0,14
816,0,13
816,1400000,15
836,1400000,16
836,1700000,15
838,1700000,16
838,0,14
838,0,13
838,1400000,15
858,1400000,16
858,1700000,15
860,1700000,16
860,0,14
860,0,13
860,1400000,15
880,1400000,16
880,1700000,15
882,1700000,16
882,0,14
882,0,13
882,1400000,15
902,1400000,16
902,1700000,15
904,1700000,16
904,0,14
904,0,13
904,1400000,15
924,1400000,16
924,1700000,15
926,1700000,16
926,0,14
926,0,13
926,1400000,15
946,1400000,16
946,1700000,15
948,1700000,16
948,0,14
948,0,13
948,1400000,15
968,1400000,16
968,1700000,15
970,1700000,16
970,0,14
970,0,13
970,1400000,15
990,1400000,16
990,1700000,15
992,1700000,16
992,0,14
992,0,13
992,1400000,15
1012,1400000,16
1012,1700000,15
1014,1700000,16
1014,0,14
1014,0,13
1014,1400000,15
1034,1400000,16
1034,1700000,15
1036,1700000,16
1036,0,14
1036,0,13
1036,1400000,15
1056,1400000,16
1056,1700000,15
1058,1700000,16
1058,0,14
1058,0,13
1058,1400000,15
1078,1400000,16
1078,1700000,15
