9,43,43,43,43
205,43,43,43,43
405,44,44,44,44
610,44,44,44,44
811,45,45,45,45
1016,45,45,45,45
1217,45,45,45,45
1417,45,45,45,45
1617,45,45,45,45
1815,45,45,45,45
2007,45,45,45,45
2203,45,45,45,45
2408,45,45,45,45
2608,45,45,45,45
2804,45,45,45,45
3005,45,45,45,45
3205,45,45,45,45
3405,45,45,45,45
3610,45,45,45,45
3805,45,45,45,45
4006,45,45,45,45
4206,46,46,46,46
4402,46,46,46,46
4607,46,46,46,46
4803,46,46,46,46
5007,45,45,45,45
5208,45,45,45,45
5408,46,46,46,46
5609,46,46,46,46
5805,46,46,46,46
6005,46,46,46,46
6205,46,46,46,46
6410,46,46,46,46
6606,46,46,46,46
6806,46,46,46,46
7007,46,46,46,46
7207,46,46,46,46
7407,46,46,46,46
7607,46,46,46,46
7809,46,46,46,46
8008,46,46,46,46
8215,46,46,46,46
8415,46,46,46,46
8609,46,46,46,46
8805,46,46,46,46
9005,46,46,46,46
9205,46,46,46,46
9406,46,46,46,46
9606,46,46,46,46
9802,46,46,46,46
10003,46,46,46,46
10203,46,46,46,46
10403,46,46,46,46
10604,46,46,46,46
10804,46,46,46,46
11009,46,46,46,46
11209,46,46,46,46
11409,46,46,46,46
11610,46,46,46,46
11806,46,46,46,46
12006,46,46,46,46
12206,46,46,46,46
12407,46,46,46,46
12607,46,46,46,46
12803,46,46,46,46
13008,46,46,46,46
13208,46,46,46,46
13408,46,46,46,46
13609,46,46,46,46
13805,46,46,46,46
14005,46,46,46,46
14205,46,46,46,46
14405,46,46,46,46
14606,46,46,46,46
14807,46,46,46,46
15006,46,46,46,46
15202,46,46,46,46
15403,46,46,46,46
15603,46,46,46,46
15808,46,46,46,46
16008,46,46,46,46
16209,46,46,46,46
16409,46,46,46,46
16609,46,46,46,46
16810,46,46,46,46
17006,46,46,46,46
17215,46,46,46,46
17406,46,46,46,46
17606,47,47,47,47
17807,47,47,47,47
18003,47,47,47,47
18203,47,47,47,47
18408,47,47,47,47
18604,47,47,47,47
18804,47,47,47,47
19009,47,47,47,47
19205,47,47,47,47
19410,47,47,47,47
19610,47,47,47,47
19810,47,47,47,47
20006,47,47,47,47
20206,47,47,47,47
20407,47,47,47,47
20607,47,47,47,47
20807,47,47,47,47
21003,47,47,47,47
21208,47,47,47,47
21404,47,47,47,47
21609,47,47,47,47
21809,47,47,47,47
22005,47,47,47,47
22205,47,47,47,47
